,numSample,results
0,5,0.095
1,10,0.101
2,15,0.084
3,20,0.102
4,25,0.1
5,30,0.096
6,35,0.077
7,40,0.102
8,45,0.112
9,50,0.079
10,55,0.109
11,60,0.077
12,65,0.1
13,70,0.09
14,75,0.106
15,80,0.111
16,85,0.106
17,90,0.093
18,95,0.098
19,100,0.104
20,105,0.112
21,110,0.112
22,115,0.111
23,120,0.087
24,125,0.082
25,130,0.109
26,135,0.095
27,140,0.08
28,145,0.104
29,150,0.103
30,155,0.101
31,160,0.097
32,165,0.081
33,170,0.102
34,175,0.096
35,180,0.11
36,185,0.099
37,190,0.096
38,195,0.098
39,200,0.082
40,205,0.098
41,210,0.11
42,215,0.093
43,220,0.118
44,225,0.11
45,230,0.101
46,235,0.103
47,240,0.113
48,245,0.115
49,250,0.092
50,255,0.106
51,260,0.113
52,265,0.099
53,270,0.099
54,275,0.104
55,280,0.09
56,285,0.106
57,290,0.124
58,295,0.107
59,300,0.086
60,305,0.112
61,310,0.11
62,315,0.107
63,320,0.106
64,325,0.114
65,330,0.124
66,335,0.096
67,340,0.095
68,345,0.088
69,350,0.1
70,355,0.098
71,360,0.108
72,365,0.095
73,370,0.115
74,375,0.099
75,380,0.105
76,385,0.088
77,390,0.096
78,395,0.076
79,400,0.113
80,405,0.08
81,410,0.087
82,415,0.081
83,420,0.113
84,425,0.101
85,430,0.096
86,435,0.112
87,440,0.128
88,445,0.083
89,450,0.09
90,455,0.09
91,460,0.091
92,465,0.083
93,470,0.111
94,475,0.094
95,480,0.116
96,485,0.098
97,490,0.107
98,495,0.101
99,500,0.106
100,505,0.108
101,510,0.104
102,515,0.115
103,520,0.099
104,525,0.108
105,530,0.075
106,535,0.102
107,540,0.116
108,545,0.103
109,550,0.102
110,555,0.095
111,560,0.101
112,565,0.095
113,570,0.119
114,575,0.113
115,580,0.112
116,585,0.092
117,590,0.091
118,595,0.095
119,600,0.076
120,605,0.111
121,610,0.104
122,615,0.105
123,620,0.114
124,625,0.105
125,630,0.098
126,635,0.101
127,640,0.113
128,645,0.097
129,650,0.101
130,655,0.091
131,660,0.095
132,665,0.092
133,670,0.087
134,675,0.094
135,680,0.099
136,685,0.086
137,690,0.098
138,695,0.104
139,700,0.106
140,705,0.102
141,710,0.092
142,715,0.098
143,720,0.098
144,725,0.106
145,730,0.093
146,735,0.081
147,740,0.1
148,745,0.107
