,numSample,results
0,0,0.076
1,10,0.082
2,20,0.101
3,30,0.084
4,40,0.089
5,50,0.092
6,60,0.147
7,70,0.072
8,80,0.097
9,90,0.101
10,100,0.095
11,110,0.116
12,120,0.071
13,130,0.105
14,140,0.081
15,150,0.094
16,160,0.076
17,170,0.097
18,180,0.101
19,190,0.114
20,200,0.095
21,210,0.131
22,220,0.068
23,230,0.116
24,240,0.061
25,250,0.108
26,260,0.094
27,270,0.112
28,280,0.088
29,290,0.096
30,300,0.079
31,310,0.116
32,320,0.087
33,330,0.095
34,340,0.094
35,350,0.116
36,360,0.112
37,370,0.078
38,380,0.111
39,390,0.074
40,400,0.094
41,410,0.083
42,420,0.108
43,430,0.107
44,440,0.096
45,450,0.085
46,460,0.079
47,470,0.108
48,480,0.082
49,490,0.092
50,500,0.071
51,510,0.092
52,520,0.111
53,530,0.077
54,540,0.072
55,550,0.098
56,560,0.082
57,570,0.105
58,580,0.097
59,590,0.14
60,600,0.126
61,610,0.057
62,620,0.1
63,630,0.115
64,640,0.081
65,650,0.11
66,660,0.11
67,670,0.112
68,680,0.081
69,690,0.096
70,700,0.105
71,710,0.093
72,720,0.097
73,730,0.134
74,740,0.106
75,750,0.092
76,760,0.103
77,770,0.09
78,780,0.119
79,790,0.102
80,800,0.13
81,810,0.109
82,820,0.071
83,830,0.112
84,840,0.067
85,850,0.074
86,860,0.149
87,870,0.131
88,880,0.097
89,890,0.086
90,900,0.121
91,910,0.083
92,920,0.083
93,930,0.109
94,940,0.104
95,950,0.091
96,960,0.118
97,970,0.09
98,980,0.121
99,990,0.103
100,1000,0.113
101,1010,0.115
102,1020,0.097
103,1030,0.088
104,1040,0.111
105,1050,0.095
106,1060,0.091
107,1070,0.133
108,1080,0.102
109,1090,0.114
110,1100,0.084
111,1110,0.128
112,1120,0.119
113,1130,0.097
114,1140,0.115
115,1150,0.108
116,1160,0.089
117,1170,0.092
118,1180,0.097
119,1190,0.085
120,1200,0.095
121,1210,0.104
122,1220,0.13
123,1230,0.129
124,1240,0.095
125,1250,0.106
126,1260,0.117
127,1270,0.079
128,1280,0.106
129,1290,0.097
130,1300,0.072
131,1310,0.106
132,1320,0.092
133,1330,0.105
134,1340,0.088
135,1350,0.101
136,1360,0.154
137,1370,0.126
138,1380,0.118
139,1390,0.065
140,1400,0.081
141,1410,0.102
142,1420,0.114
143,1430,0.087
144,1440,0.116
145,1450,0.097
146,1460,0.123
147,1470,0.095
148,1480,0.116
149,1490,0.088
